Proteina,U-statistic,p-value
nodA,9.000000,0.100000
ubiF,5.000000,1.000000
LPU83_2531,0.000000,0.100000
cysI,2.000000,0.400000
LPU83_2536,7.000000,0.400000
recA,4.000000,1.000000
rpoB,0.000000,0.100000
thrC,3.000000,0.700000
gyrB,5.000000,1.000000
dnaK,3.000000,0.700000
glnA,7.000000,0.400000
gltA,7.000000,0.400000
citA;gltA,6.000000,0.700000
repB,0.000000,0.100000
LPU83_pLPU83a_0145,9.000000,0.100000
traA,5.000000,1.000000
repA,0.000000,0.100000
repA;repA1,0.000000,0.100000
LPU83_0001,7.000000,0.400000
secB,5.000000,1.000000
LPU83_0016,8.000000,0.200000
trpB,4.000000,1.000000
addA,8.000000,0.200000
ahcY1,4.000000,1.000000
chvI,5.000000,1.000000
hisE,5.000000,1.000000
hisB,5.000000,1.000000
actS,5.000000,1.000000
LPU83_0071;LPU83_0521;LPU83_0646;LPU83_1430;LPU83_3682;LPU83_3888,6.000000,0.700000
oppF,6.000000,0.700000
LPU83_0086,1.000000,0.200000
LPU83_0091,4.000000,1.000000
ttr,3.000000,0.700000
recF,3.000000,0.700000
LPU83_0106,5.000000,1.000000
dnaX,8.000000,0.200000
LPU83_0131,8.000000,0.200000
rbfA,0.000000,0.100000
rsmC,2.000000,0.400000
fabA,6.000000,0.700000
LPU83_0157,6.000000,0.700000
LPU83_0162,2.000000,0.400000
uxaC,7.000000,0.400000
LPU83_0172,7.000000,0.400000
purU,5.000000,1.000000
purU,6.000000,0.700000
LPU83_0203,4.000000,1.000000
LPU83_0208,6.000000,0.700000
cpaB,2.000000,0.400000
LPU83_0223,3.000000,0.700000
deoD,3.000000,0.700000
LPU83_0238,3.000000,0.700000
LPU83_0249,6.000000,0.700000
LPU83_0254,9.000000,0.100000
glk,3.000000,0.700000
LPU83_0264,4.000000,1.000000
arsC1,5.000000,1.000000
phnM1,5.000000,1.000000
LPU83_0294,6.000000,0.700000
LPU83_0299,5.000000,1.000000
dnaJ1,5.000000,1.000000
pheS,3.000000,0.700000
LPU83_0334,6.000000,0.700000
aroE,4.000000,1.000000
LPU83_0339,4.000000,1.000000
LPU83_0008,5.000000,1.000000
LPU83_0013,2.000000,0.400000
LPU83_0018,6.000000,0.700000
accD,4.000000,1.000000
guaA3,5.000000,1.000000
LPU83_0028,6.000000,0.700000
LPU83_0033,8.000000,0.200000
sun,4.000000,1.000000
LPU83_0379,6.000000,0.700000
LPU83_0038,1.000000,0.200000
pyrF,4.000000,1.000000
hisA,2.000000,0.400000
LPU83_0048,7.000000,0.400000
LPU83_0053,0.000000,0.100000
LPU83_0399,5.000000,1.000000
LPU83_0063,6.000000,0.700000
dut,7.000000,0.400000
LPU83_0068,3.000000,0.700000
LPU83_0073,4.000000,1.000000
LPU83_0414,1.000000,0.200000
dadA1,6.000000,0.700000
cysJ,4.000000,1.000000
LPU83_0424,5.000000,1.000000
oppC,5.000000,1.000000
hutUch,7.000000,0.400000
rfbF,3.000000,0.700000
hutH,3.000000,0.700000
rpsT,2.000000,0.400000
rdgB,5.000000,1.000000
LPU83_0103,5.000000,1.000000
grpE,2.000000,0.400000
metK,0.000000,0.100000
phoH,3.000000,0.700000
cycM,3.000000,0.700000
LPU83_0469,4.000000,1.000000
LPU83_0474,6.000000,0.700000
LPU83_0118,2.000000,0.400000
mutS,7.000000,0.400000
spoU,7.000000,0.400000
recR,5.000000,1.000000
LPU83_0489,4.000000,1.000000
nusA,1.000000,0.200000
LPU83_0494,3.000000,0.700000
rbsK1,5.000000,1.000000
truA,6.000000,0.700000
dapD,3.000000,0.700000
ada1,4.000000,1.000000
rpsA,2.000000,0.400000
gabDch,1.000000,0.200000
gabD1;gabD5;gabDch,5.000000,1.000000
fucU,3.000000,0.700000
frcK,3.000000,0.700000
LPU83_0179,3.000000,0.700000
pyrE,6.000000,0.700000
fadD,8.000000,0.200000
guaA1,2.000000,0.400000
LPU83_0560,3.000000,0.700000
LPU83_0565,3.000000,0.700000
LPU83_0570,5.000000,1.000000
LPU83_0210,1.000000,0.200000
cpaE,2.000000,0.400000
add,2.000000,0.400000
LPU83_0230,4.000000,1.000000
LPU83_0235,2.000000,0.400000
