Proteina,T-statistic,p-value,log2FC
nodA,2.781119247646235,0.04976152451669268,-0.36068050467124024
ubiF,0.6860763111752033,0.5303651230626042,-0.06335273572427269
LPU83_2531,-2.4777551564879987,0.0683754810144291,0.22201004720541917
cysI,-1.7498662371489193,0.15504043183675453,0.15166072519189555
LPU83_2536,1.5563388890987917,0.1946133205221966,-0.0734208008559456
recA,0.05773541249124355,0.9567284852716067,-0.0022437294410586617
rpoB,-6.471322079012148,0.0029378005506507567,0.06947955706230857
thrC,-1.3190654250876104,0.25759092937635814,0.05056620730657713
gyrB,-0.187776973361101,0.8601923234699326,0.010574766380681666
dnaK,-0.048179075569425286,0.9638831568062377,0.001982153088707861
glnA,1.0836076738325862,0.3394885224129196,-0.043918002127508515
gltA,1.4150108415924472,0.2299827510791563,-0.04315838500473035
citA;gltA,0.8805532662961796,0.42828733144019465,-0.2157888627084894
repB,-5.575659018717348,0.005071478309391912,0.24732659617484742
LPU83_pLPU83a_0145,2.2766550382899675,0.08510005513293735,-0.21253118704124319
traA,0.2960663749737622,0.7819140230782184,-0.09075604096174139
repA,-4.214813572120104,0.01353377399387995,0.09720025612987371
repA;repA1,-1.7606215931013203,0.15310569997775011,0.3946562355613388
LPU83_0001,1.6849809330978665,0.16727461175101963,-0.35085810882291746
secB,-0.5549152974632747,0.6085191482846457,0.05525836738816281
LPU83_0016,1.95433719236594,0.12234671972363959,-0.08493535998552204
trpB,0.1338435624521996,0.8999902134257916,-0.004429413807219618
addA,1.9703180832294893,0.1201257414026099,-0.14296845917273515
ahcY1,-0.7990248094529989,0.4690320156978724,0.024483775116209472
chvI,-0.049400429711019274,0.9629685026778256,0.004430974482492189
hisE,0.6486495439204841,0.5519234202902724,-0.1677883244403482
hisB,0.7516317038897429,0.49407928869174067,-0.10899044596315122
actS,0.13291746036332908,0.9006771266945621,-0.05189385153325432
LPU83_0071;LPU83_0521;LPU83_0646;LPU83_1430;LPU83_3682;LPU83_3888,0.4806259119699621,0.6558876276688328,-0.016407895310617704
oppF,0.3854561902853355,0.7195206105690057,-0.03656682315976312
LPU83_0086,-1.756630181414036,0.15382068880356098,0.07225391319127894
LPU83_0091,-0.5630490431266038,0.6034645321684776,0.029502338917051674
ttr,0.06824931249698747,0.9488626273362086,-0.024586658209180712
recF,0.08346493435669528,0.937491984922997,-0.012137606832414605
LPU83_0106,-0.039918875488665836,0.9700707785076228,0.0023367126397175753
dnaX,1.9092210815537058,0.12886153556137495,-0.06266599107114956
LPU83_0131,2.077407828313765,0.10633442725374402,-0.21743859032021362
rbfA,-2.0759840995752334,0.10650593656666843,0.19430026947343393
rsmC,-1.2235485342376897,0.28826912756128975,0.06720247099740106
fabA,1.0630860276433767,0.3476632351595107,-0.04183077284089265
LPU83_0157,0.33830376344323354,0.7521456230050431,-0.04534401464977478
LPU83_0162,-1.0613526796043244,0.34836172706660967,0.22487407371109214
uxaC,0.8357757997281755,0.4502984737552945,-0.04075594558622342
LPU83_0172,1.7583256917188432,0.153516536673288,-0.0560140461822094
purU,0.19782647987864804,0.8528275296504485,-0.019278586373289386
purU,-0.5915470887331898,0.5859669376033748,0.05596222704581422
LPU83_0203,-0.2055122504458814,0.8472071736281857,0.02661378177226581
LPU83_0208,0.41630315090760833,0.6985557808481433,-0.19579521865200178
cpaB,-1.1449705269226589,0.3160736644247485,0.1142350158113139
LPU83_0223,-0.6706797136349009,0.5391604021910015,0.11399196424841307
deoD,-0.8028744430323475,0.46704143407729704,0.03912570741980659
LPU83_0238,-1.0846738174862345,0.33906859393797745,0.035381957490290716
LPU83_0249,0.6885743301120159,0.5289478568605092,-0.10677423899887017
LPU83_0254,2.415585734460962,0.07311135070810508,-0.1988867990959271
glk,-0.8617297487644594,0.4374316049219025,0.03558072838855608
LPU83_0264,-0.9026351385098503,0.41776067091507724,0.08980328140866689
arsC1,-0.44183481701569477,0.6814447783621829,0.09615282958296945
phnM1,0.5929706362242475,0.5851016355572961,-0.036060438077438306
LPU83_0294,0.6978373924827256,0.5237161805458218,-0.20086798873970935
LPU83_0299,-0.019581623926059593,0.9853149551214129,0.001934759994622226
dnaJ1,-0.19767590009834968,0.8529377507905984,0.005454153202521184
pheS,-1.1479105327210735,0.31498988954915075,0.10852512853254481
LPU83_0334,0.7916921812183049,0.47284188427675844,-0.08547494405708811
aroE,-0.06383576523971103,0.95216377811737,0.001637769451516391
LPU83_0339,0.2212441078781952,0.835737593675214,-0.05142771142980607
LPU83_0008,0.4235576020410469,0.6936712260824617,-0.01609048022630688
LPU83_0013,-1.3190688660379388,0.2575898831597348,0.05483776277308294
LPU83_0018,0.9636889975066065,0.38977453629893866,-0.29497799707508676
accD,-0.09378483509864677,0.9297899663917495,0.005820410721948832
guaA3,0.26673270255679354,0.8028612962533631,-0.009201218583239523
LPU83_0028,0.4167432934713217,0.6982589180685204,-0.07833683675430336
LPU83_0033,2.0718373118748357,0.10700722038681393,-0.056086557798511905
sun,-0.3527514356870749,0.7420780828454963,0.026334049415169147
LPU83_0379,0.33949273417933457,0.7513148223552009,-0.03068139517437629
LPU83_0038,-2.225711550811674,0.09003880861299005,0.919265086754919
pyrF,0.2975768048208884,0.7808412517206899,-0.016511583659998053
hisA,-1.2225378527994524,0.288611691309046,0.14420060401385726
LPU83_0048,1.142433295102422,0.3170117298454741,-0.7861699274569958
LPU83_0053,-2.9179967436447516,0.04333014056872442,0.11631910228706843
LPU83_0399,0.6200177427328354,0.5688214173367919,-0.17034899948646398
LPU83_0063,0.44083155521436096,0.6821128973759645,-0.05392476238218791
dut,1.414061767871446,0.23024095800650204,-0.14137724157718878
LPU83_0068,-0.5900417410092242,0.5868828734059484,0.20026732280329895
LPU83_0073,-0.3195517784372753,0.765301655880396,0.011445708948812694
LPU83_0414,-1.8661864472204632,0.13542727935818316,0.08369539268533188
dadA1,0.25743007316579886,0.80954750071765,-0.05347048463826454
cysJ,-0.4641577522397827,0.6666711425966498,0.20272298559663327
LPU83_0424,0.32896212059853913,0.7586871951367122,-0.11765142288913921
oppC,0.7704960798459641,0.4839896753737979,-0.213688434475241
hutUch,1.1263219995240243,0.323028453055472,-0.2078635503372226
rfbF,-0.33241311227128273,0.7562677210633161,0.032028633878937285
hutH,-0.874112048032548,0.4313986811881888,0.29312575129547724
rpsT,-0.7398677439946868,0.5004512201276701,0.060347934697031036
rdgB,0.536281920247703,0.6201983836062861,-0.028094460623346862
LPU83_0103,0.6432194144310623,0.5551013614975345,-0.1733719416945103
grpE,-1.3837912666391463,0.23862938981502158,0.14404795555914873
metK,-3.3326651876313687,0.029033435333380205,0.05892427301287739
phoH,-0.3069685606929514,0.7741841556364526,0.019822815509268565
cycM,-0.45250525335968145,0.6743607770801247,0.03282199476328174
LPU83_0469,-0.2134108644758438,0.8414426056187209,0.033713729358666455
LPU83_0474,0.3388840407069053,0.7517400998637439,-0.03177959949393028
LPU83_0118,-1.3327113392904655,0.2534742994681613,0.5349897718860603
mutS,1.0606187808963794,0.34865784613596795,-0.05596037854159874
spoU,0.5358868891402103,0.620447476276837,-0.07032546168656495
recR,0.2620720351764662,0.8062086166407602,-0.019742049995084443
LPU83_0489,-0.8937462877986705,0.42197209575360506,0.17346307443904507
nusA,-1.5881546587125415,0.18744713891071377,0.05244959115125525
LPU83_0494,-1.1203110657875783,0.32529993611276753,0.0495864822338028
rbsK1,0.13909055528275208,0.8961004079875243,-0.006802644607464714
truA,0.7063361536830971,0.5189491997101054,-0.029088381212101666
dapD,-0.98201212864182,0.38169323046391374,0.153015809538946
ada1,0.12692763534294813,0.9051224411104097,-0.033793648296089884
rpsA,-1.7111942176785568,0.1622137249779375,0.11147245593690869
gabDch,-1.9207338882682516,0.127164023695565,0.09644816986306637
gabD1;gabD5;gabDch,0.11598250361921089,0.913256044215626,-0.009806558706895174
fucU,0.6645407217223798,0.5426959511967259,-0.07638595107232504
frcK,-0.6690696038321904,0.5400861146236756,0.10957245554320139
LPU83_0179,-1.1551787576421362,0.31232532567637566,1.538181577070226
pyrE,0.17692800128580852,0.8681623328924237,-0.009478081159695506
fadD,1.9464594575599807,0.1234579747066549,-0.07593281083052617
guaA1,-1.108876185850352,0.3296614347003114,0.4540953147691482
LPU83_0560,-0.3135398294980811,0.7695401631343072,0.02436636330426012
LPU83_0565,-0.48922416054631795,0.6502971657492396,0.020150061442819833
LPU83_0570,0.3779184532587071,0.7246902527321359,-0.020268062459344094
LPU83_0210,-1.389681632880947,0.23697364684072628,0.34339133972533986
cpaE,-1.1583191126853642,0.3111805250863328,0.0700115837679931
add,-0.7015232320041369,0.5216448950996451,0.14076219386506494
LPU83_0230,-0.11347352598492813,0.9151223853353789,0.021076001204310302
LPU83_0235,-1.0739499406229633,0.3433138751346222,0.09940827123308438
LPU83_0630,-1.820391237127623,0.1428121739652907,0.04914518244461874
LPU83_0636,-0.519884582203526,0.6305894060508836,0.05200841815216961
pstC,0.3483099285609511,0.7451665408216142,-0.06086657687412256
LPU83_0251,0.45923734791768656,0.6699122291115015,-0.19897198801532667
LPU83_0256,1.5129619700833061,0.20483913233477444,-0.07437076819122623
apaG,-0.6737451034475712,0.5374010984430163,0.04653541908573189
dapB1,2.269814797842876,0.08574518208553751,-0.050325248436902115
LPU83_0281,0.8116373244928128,0.4625349508483114,-0.2417520297568032
LPU83_0677,-0.8385677988221213,0.44889990439896765,0.0817964620377225
infC,-0.9412066684285442,0.3998898749550073,0.046629459533754414
